Search type: State

Dicot

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
SUAED,,Suaeda Forssk. ex J.F. Gmel.,seepweed
SUCA2,SUDE,Suaeda depressa auct. non (Pursh) S. Watson,
SUCA2,SUAM,Suaeda americana (Pers.) Fernald,
SUCA2,,Suaeda calceoliformis (Hook.) Moq.,Pursh seepweed
SUCA2,DODE5,Dondia depressa auct. non (Pursh) Britton,
SUCA2,SUDEE,Suaeda depressa (Pursh) S. Watson var. erecta S. Watson,
SUCA2,SUOC,Suaeda occidentalis (S. Watson) S. Watson,
SUCA2,SCOC10,Schoberia occidentalis S. Watson,
SUCA2,SUMAA,Suaeda maritima (L.) Dumort. var. americana (Pers.) B. Boivin,
SUCA2,SUMI,Suaeda minutiflora S. Watson,
SULI,,Suaeda linearis (Elliott) Moq.,annual seepweed
SULI,DOLI,Dondia linearis (Elliott) A. Heller,
SUMA,,Suaeda maritima (L.) Dumort.,herbaceous seepweed
SUMAM,,Suaeda maritima (L.) Dumort. ssp. maritima,herbaceous seepweed
SUMAM,SUPR2,Suaeda prostrata Pall.,
SUMAM,DOMA2,Dondia maritima (L.) Druce,
SURO,,Suaeda rolandii Bassett & C.W. Crompton,Roland's seablite
SUBUL,,Subularia L.,awlwort
SUAQ,,Subularia aquatica L.,waterawlwort
SUAQA2,,Subularia aquatica L. var. americana (G. Mulligan & Calder) B. Boivin,American waterawlwort
SUAQA2,SUAQA,Subularia aquatica L. ssp. americana G. Mulligan & Calder,
SUAQA2,SUAQM2,"Subularia aquatica L. ssp. mexicana G.A. Mulligan & Calder, ined.?",
SUCCI2,,Succisella G. Beck,succisella
SUIN2,SCAU2,Scabiosa australis Wulfen,
SUIN2,SUAU,Succisa australis (Wulfen) Rchb.,
SUIN2,,Succisella inflexa (Kluk) G. Beck,southern succisella
SYMPH,,Symphoricarpos Duham.,snowberry
SYAL,,Symphoricarpos albus (L.) S.F. Blake,common snowberry
SYALA,,Symphoricarpos albus (L.) S.F. Blake var. albus,common snowberry
SYALA,SYPA3,Symphoricarpos pauciflorus W.J. Rob. ex A. Gray,
SYALA,SYALP,Symphoricarpos albus (L.) S.F. Blake var. pauciflorus (W.J. Rob. ex A. Gray) S.F. Blake,
SYALA,SYRA80,Symphoricarpos racemosus Michx.,
SYALL,,Symphoricarpos albus (L.) S.F. Blake var. laevigatus (Fernald) S.F. Blake,common snowberry
SYALL,SYALL2,Symphoricarpos albus (L.) S.F. Blake ssp. laevigatus (Fernald) Hultén,
SYALL,SYRI2,Symphoricarpos rivularis Suksd.,
SYOC,,Symphoricarpos occidentalis Hook.,western snowberry
SYOR,,Symphoricarpos orbiculatus Moench,coralberry
SYOR,SYSY,"Symphoricarpos symphoricarpos (L.) MacMill., nom. inval.",
SYMPH4,,Symphyotrichum Nees,aster
SYAM3,,Symphyotrichum ×amethystinum (Nutt.) G.L. Nesom [ericoides × novae-angliae],aster
SYAM3,ASAM7,Aster ×amethystinus Nutt. (pro sp.),
SYAM3,ASAM13,"Aster amethystinus Nutt., database artifact",
SYAM3,VIAM2,Virgulus ×amethystinus (Nutt.) Reveal & Keener,
SYAM3,LAAM3,Lasallea ×amethystina (Nutt.) Semple & L. Brouillet,
SYBO2,,Symphyotrichum boreale (Torr. & A. Gray) Á. Löve & D. Löve,northern bog aster
SYBO2,ASBO7,Aster borealis (Torr. & A. Gray) Prov.,
SYBO2,ASJU,Aster junciformis Rydb.,
SYBO2,ASFR6,Aster franklinianus Rydb.,
SYBO2,ASLAB2,Aster laxifolius Nees var. borealis Torr. & A. Gray,
SYBO2,ASJU5,Aster junceus auct. non Aiton,
SYCI2,,Symphyotrichum ciliatum (Ledeb.) G.L. Nesom,rayless alkali aster
SYCI2,BRCIA,Brachyactis ciliata (Ledeb.) Ledeb. ssp. angusta (Lindl.) A.G. Jones,
SYCI2,ASBR3,Aster brachyactis S.F. Blake,
SYCI2,TRAN7,Tripolium angustum Lindl.,
SYCI2,BRAN4,Brachyactis angusta (Lindl.) Britton,
SYCI2,BRCI6,Brachyactis ciliata (Ledeb.) Ledeb.,
SYCI,ASCIW,Aster ciliolatus Lindl. var. wilsonii (Rydb.) A.G. Jones,
SYCI,SYCIM,Symphyotrichum ciliolatum (Lindl.) Á. Löve & D. Löve var. maccallae (Rydb.) G.L. Nesom,
SYCI,ASCI,Aster ciliolatus Lindl.,
SYCI,,Symphyotrichum ciliolatum (Lindl.) Á. Löve & D. Löve,Lindley's aster
SYCI,ASMA26,Aster maccallae Rydb.,
SYCI,ASCIC2,Aster ciliolatus Lindl. var. comatus (Fernald) A.G. Jones,
SYCI,ASFOS2,Aster foliaceus Lindl. ex DC. var. subgeminatus Fernald,
SYCI,ASCIM2,Aster ciliolatus Lindl. var. maccallae (Rydb.) A.G. Jones,
SYCI,ASWI6,Aster wilsonii Rydb.,
SYCI,ASSA10,Aster saundersii Burgess,
SYCI,ASLI9,Aster lindleyanus Torr. & A. Gray,
SYCI,ASSU10,Aster subgeminatus (Fernald) B. Boivin,
SYCI,SYCIW,Symphyotrichum ciliolatum (Lindl.) Á. Löve & D. Löve var. wilsonii (Rydb.) G.L. Nesom,
SYCI,SYCIC,Symphyotrichum ciliolatum (Lindl.) Á. Löve & D. Löve var. comatum (Fernald) G.L. Nesom,
SYCI,SYSU3,Symphyotrichum subgeminatum (Fernald) G.L. Nesom,
SYCO3,LACO9,Lasallea concolor (L.) Semple & L. Brouillet,
SYCO3,,Symphyotrichum concolor (L.) G.L. Nesom,eastern silver aster
SYCO3,ASCO2,Aster concolor L.,
SYCO3,ASCOS2,Aster concolor L. var. simulatus (Small) R.W. Long,
SYCO3,ASPL7,Aster plumosus Small,
SYCO3,VICO15,Virgulus concolor (L.) Reveal & Keener,
SYCO3,ASSI10,Aster simulatus Small,
SYCO4,ASPL6,Aster plumarius Burgess,
SYCO4,ASCO4,Aster cordifolius L.,
SYCO4,ASCOI,Aster cordifolius L. var. incisus Britton,
SYCO4,,Symphyotrichum cordifolium (L.) G.L. Nesom,common blue wood aster
SYCO4,ASLOI,Aster lowrieanus Porter var. incisus (Britton) Porter,
SYCO4,ASCOF2,Aster cordifolius L. var. furbishiae Fernald,
SYCO4,ASSA,Aster sagittifolius Wedemeyer ex Willd.,
SYCO4,ASCOP2,Aster cordifolius L. var. polycephalus Porter,
SYCO4,SYSA4,Symphyotrichum sagittifolium (Wedemeyer ex Willd.) G.L. Nesom,
SYCO4,ASCOL3,Aster cordifolius L. var. lanceolatus Porter,
SYCO4,ASCOS3,Aster cordifolius L. var. sagittifolius (Wedemeyer ex Willd.) A.G. Jones,
SYCO4,ASCOM3,Aster cordifolius L. var. moratus (Shinners) Shinners,
SYCO4,ASCOS5,Aster cordifolius L. ssp. sagittifolius (Wedemeyer ex Willd.) A.G. Jones,
SYCO4,ASCOR,Aster cordifolius L. var. racemiflorus Fernald,
SYCO4,ASFIM,Aster finkii Rydb. var. moratus Shinners,
SYCO4,SYCOM,Symphyotrichum cordifolium (L.) G.L. Nesom var. moratum (Shinners) G.L. Nesom,
SYCO4,ASLOL,Aster lowrieanus Porter var. lanceolatus,
SYCO4,SYCOF,Symphyotrichum cordifolium (L.) G.L. Nesom var. furbishiae (Fernald) G.L. Nesom,
SYCO4,SYCOL,Symphyotrichum cordifolium (L.) G.L. Nesom var. lanceolatum (Porter) G.L. Nesom,
SYCO4,SYCOP,Symphyotrichum cordifolium (L.) G.L. Nesom var. polycephalum (Porter) G.L. Nesom,
SYCO4,SYCOR,Symphyotrichum cordifolium (L.) G.L. Nesom var. racemiflorum (Fernald) G.L. Nesom,
SYDU2,,Symphyotrichum dumosum (L.) G.L. Nesom,rice button aster
SYDUS,,Symphyotrichum dumosum (L.) G.L. Nesom var. strictior (Torr. & A. Gray) G.L. Nesom,rice button aster
SYDUS,SYDUD,Symphyotrichum dumosum (L.) G.L. Nesom var. dodgei (Fernald) G.L. Nesom,
SYDUS,ASDUS,Aster dumosus L. var. strictior Torr. & A. Gray,
SYDUS,ASDUD,Aster dumosus L. var. dodgei Fernald,
SYER,,Symphyotrichum ericoides (L.) G.L. Nesom,white heath aster
SYERE,ASEX6,Aster exiguus (Fernald) Rydb.,
SYERE,ASER3,Aster ericoides L.,
SYERE,,Symphyotrichum ericoides (L.) G.L. Nesom var. ericoides,white heath aster
SYERE,ASMUP,Aster multiflorus Aiton var. prostratus Kuntze,
SYERE,LAER3,Lasallea ericoides (L.) Semple & L. Brouillet,
SYERE,ASMUE,Aster multiflorus Aiton var. exiguus Fernald,
SYERE,ASERE,Aster ericoides L. var. ericoides,
SYERE,SYERP,Symphyotrichum ericoides (L.) G.L. Nesom var. prostratum (Kuntze) G.L. Nesom,
SYERE,ASERP,Aster ericoides L. var. prostratus (Kuntze) S.F. Blake,
SYERE,ASPO7,Aster polycephalus Rydb.,
SYERE,ASMU5,Aster multiflorus Aiton,
SYERE,VIER4,Virgulus ericoides (L.) Reveal & Keener,
SYLA3,,Symphyotrichum laeve (L.) Á. Löve & D. Löve,smooth blue aster
SYLAC,,Symphyotrichum laeve (L.) Á. Löve & D. Löve var. concinnum (Willd.) G.L. Nesom,smooth blue aster
SYLAC,ASCO23,Aster concinnus Willd.,
SYLAC,ASLAC,Aster laevis L. var. concinnus (Willd.) House,
SYLAL3,ASFA5,Aster falcidens Burgess,
SYLAL3,,Symphyotrichum laeve (L.) Á. Löve & D. Löve var. laeve,smooth blue aster
SYLAL3,ASLA5,Aster laevis L.,
SYLAL3,ASLAF2,Aster laevis L. var. falcatus Farw.,
SYLAL3,ASST18,Aster steeleorum Shinners,
SYLA6,,Symphyotrichum lanceolatum (Willd.) G.L. Nesom,white panicle aster
SYLAL6,,Symphyotrichum lanceolatum (Willd.) G.L. Nesom ssp. lanceolatum,white panicle aster
SYLAI3,ASLAI5,Aster lanceolatus Willd. var. interior (Wiegand) Semple & Chmielewski,
SYLAI3,ASIN18,Aster interior Wiegand,
SYLAI3,,Symphyotrichum lanceolatum (Willd.) G.L. Nesom ssp. lanceolatum var. interior (Wiegand) G.L. Nesom,white panicle aster
SYLAI3,ASLAI3,Aster lanceolatus Willd. ssp. interior (Wiegand) A.G. Jones,
SYLAI3,ASLAI4,Aster lanceolatus Willd. var. interior (Wiegand) A.G. Jones,
SYLAI3,ASSII,Aster simplex Willd. var. interior (Wiegand) Cronquist,
SYLAL4,ASBE8,Aster bellidiflorus Willd.,
SYLAL4,ASLA80,Aster lanceolatus Willd.,
SYLAL4,ASLA17,Aster laxus Willd.,
SYLAL4,,Symphyotrichum lanceolatum (Willd.) G.L. Nesom ssp. lanceolatum var. lanceolatum,white panicle aster
SYLAL4,ASLA12,Aster lamarckianus Nees,
SYLAL4,ASLAS4,Aster lanceolatus Willd. var. simplex (Willd.) A.G. Jones,
SYLAL4,ASPA35,"Aster paniculatus Lam. p.p., non Mill.",
SYLAL4,ASLAS3,Aster lanceolatus Willd. ssp. simplex (Willd.) A.G. Jones,
SYLAL4,ASSIR,Aster simplex Willd. var. ramosissimus (Torr. & A. Gray) Cronquist,
SYLAL4,ASPAS,Aster paniculatus Lam. var. simplex (Willd.) Burgess,
SYLAL4,ASTER3,Aster tenuifolius L. var. ramosissimus Torr. & A. Gray,
SYLAL4,ASSI2,Aster simplex Willd.,
SYLAL4,SYSI2,Symphyotrichum simplex (Willd.) Á. Löve & D. Löve,
SYLAL4,ASSIE,Aster simplex Willd. var. estuarinus B. Boivin,
SYLAL5,ASLAL5,Aster lanceolatus Willd. var. latifolius Semple & Chmielewski,
SYLAL5,,Symphyotrichum lanceolatum (Willd.) G.L. Nesom ssp. lanceolatum var. latifolium (Semple & Chmielewski) G.L. Nesom,white panicle aster
SYLA4,,Symphyotrichum lateriflorum (L.) Á. Löve & D. Löve,calico aster
SYLAA,,Symphyotrichum lateriflorum (L.) Á. Löve & D. Löve var. angustifolium (Wiegand) G.L. Nesom,calico aster
SYLAA,ASAG4,Aster agrostifolius Burgess,
SYLAA,ASLAA,Aster lateriflorus (L.) Britton var. angustifolius Wiegand,
SYLAH5,ASLAH,Aster lateriflorus (L.) Britton var. horizontalis (Desf.) Farw.,
SYLAH5,,Symphyotrichum lateriflorum (L.) Á. Löve & D. Löve var. horizontale (Desf.) G.L. Nesom,calico aster
SYLAH5,ASPE9,Aster pendulus Aiton,
SYLAH5,ASHO7,Aster horizontalis Desf.,
SYLAH5,ASLAP,Aster lateriflorus (L.) Britton var. pendulus (Aiton) Burgess,
SYLAL7,,Symphyotrichum lateriflorum (L.) Á. Löve & D. Löve var. lateriflorum,calico aster
SYLAL7,ASHI4,Aster hirsuticaulis Lindl. ex DC.,
SYLAL7,ASLAH3,Aster lateriflorus (L.) Britton var. hirsuticaulis (Lindl. ex DC.) Porter,
SYLAL7,ASVI16,Aster vimineus Lam.,
SYLAL7,ASLA6,Aster lateriflorus (L.) Britton,
SYLAL7,SOLA5,Solidago lateriflora L.,
SYLAL7,SYLAH4,Symphyotrichum lateriflorum (L.) Á. Löve & D. Löve var. hirsuticaule (Lindl. ex DC.) G.L. Nesom,
SYLAT,,Symphyotrichum lateriflorum (L.) Á. Löve & D. Löve var. tenuipes (Wiegand) G.L. Nesom,calico aster
SYLAT,ASLAT2,Aster lateriflorus (L.) Britton var. tenuipes Wiegand,
SYLAT,ASAC10,Aster acadiensis Shinners,
SYLO2,ASCOL2,Aster cordifolius L. var. laevigatus Porter,
SYLO2,ASCOL4,Aster cordifolius L. ssp. laevigatus (Porter) A.G. Jones,
SYLO2,,Symphyotrichum lowrieanum (Porter) G.L. Nesom,Lowrie's blue wood aster
SYLO2,ASLO9,Aster lowrieanus Porter,
SYNO2,LANO,Lasallea novae-angliae (L.) Semple & L. Brouillet,
SYNO2,ASNO,Aster novae-angliae L.,
SYNO2,,Symphyotrichum novae-angliae (L.) G.L. Nesom,New England aster
SYNO2,VINO5,Virgulus novae-angliae (L.) Reveal & Keener,
SYNO3,,Symphyotrichum novi-belgii (L.) G.L. Nesom,New York aster
SYNOE,,Symphyotrichum novi-belgii (L.) G.L. Nesom var. elodes (Torr. & A. Gray) G.L. Nesom,New York aster
SYNOE,ASNOE,Aster novi-belgii L. var. elodes (Torr. & A. Gray) A. Gray,
SYNOE,ASEL9,Aster elodes Torr. & A. Gray,
SYNON,SYLO3,"Symphyotrichum longifolium (Lam.) G.L. Nesom, as to type",
SYNON,ASLO10,Aster longifolius Lam.,
SYNON,,Symphyotrichum novi-belgii (L.) G.L. Nesom var. novi-belgii,New York aster
SYNON,ASEM3,Aster eminens Willd.,
SYNON,ASJU6,Aster junceus Aiton,
SYNON,ASNO2,Aster novi-belgii L.,
SYNON,ASSA12,"Aster salicifolius sensu Willd., non Lam. nec Aiton",
SYNOV,ASGA7,Aster gaspensis Vict.,
SYNOV,ASLOV,Aster longifolius Lam. var. villicaulis A. Gray,
SYNOV,ASJO2,Aster johannensis Fernald,
SYNOV,,Symphyotrichum novi-belgii (L.) G.L. Nesom var. villicaule (A. Gray) J. Labrecque & L. Brouillet,hairy New York aster
SYNOV,ASJOV,Aster johannensis Fernald var. villicaulis (A. Gray) Fernald,
SYNOV,ASTAV,Aster tardiflorus L. var. vestitus Fernald,
SYNOV,ASNOJ2,Aster novi-belgii L. ssp. johannensis (Fernald) A.G. Jones,
SYNOV,ASNOJ,Aster novi-belgii L. var. johannensis (Fernald) A.G. Jones,
SYNOV,ASNOV,Aster novi-belgii L. var. villicaulis (A. Gray) B. Boivin,
SYNOV,ASRO4,Aster rolandii Shinners,
SYOB,ASOBR,Aster oblongifolius Nutt. var. rigidulus A. Gray,
SYOB,ASOBA,Aster oblongifolius Nutt. var. angustatus Shinners,
SYOB,,Symphyotrichum oblongifolium (Nutt.) G.L. Nesom,aromatic aster
SYOB,ASKU,Aster kumleinii Fr. ex A. Gray,
SYOB,VIOB5,Virgulus oblongifolius (Nutt.) Reveal & Keener,
SYOB,ASOBO,Aster oblongifolius Nutt. var. orientis Shinners,
SYOB,ASOB2,Aster oblongifolius Nutt.,
SYOB,LAOB,Lasallea oblongifolia (Nutt.) Semple & L. Brouillet,
SYON2,ASLAT,Aster lateriflorus (L.) Britton var. thyrsoides (A. Gray) Sheldon,
SYON2,ASON,Aster ontarionis Wiegand,
SYON2,,Symphyotrichum ontarionis (Wiegand) G.L. Nesom,bottomland aster
SYON2,ASDIT,Aster diffusus Aiton var. thyrsoides A. Gray,
SYON2,SYON,"Symphyotrichum ontarione (Wiegand) G.L. Nesom, orth. var.",
SYON2,ASPA23,Aster pantotrichus S.F. Blake,
SYON2,ASMI14,"Aster missouriensis Britton, non Kuntze",
SYON2,ASMIT2,Aster missouriensis Britton var. thyrsoides (A. Gray) Wiegand,
SYON2,SYONG,"Symphyotrichum ontarione (Wiegand) G.L. Nesom var. glabratum (Semple) L. Brouillet & Bouchard, orth. var.",
SYON2,SYONG2,Symphyotrichum ontarionis (Wiegand) G.L. Nesom var. glabratum (Semple) L. Brouillet & Bouchard,
SYON2,ASPAT,Aster pantotrichus S.F. Blake var. thyrsoides (A. Gray) S.F. Blake,
SYON2,ASONG,Aster ontarionis Wiegand var. glabratus Semple,
SYON2,ASTRT3,Aster tradescantii L. var. thyrsoides (A. Gray) B. Boivin,
SYOO,,Symphyotrichum oolentangiense (Riddell) G.L. Nesom,skyblue aster
SYOOO,,Symphyotrichum oolentangiense (Riddell) G.L. Nesom var. oolentangiense,skyblue aster
SYOOO,ASAZ,Aster azureus Lindl.,
SYOOO,ASOO4,Aster oolentangiensis Riddell,
SYOOO,ASOOL2,Aster oolentangiensis Riddell var. laevicaulis (Fernald) A.G. Jones,
SYPA11,SYPAT,Symphyotrichum patens (Aiton) G.L. Nesom var. terranigrum J.J.N. Campb. & W.R. Seymour,
SYPA11,,Symphyotrichum patens (Aiton) G.L. Nesom,late purple aster
SYPAP2,LAPA8,Lasallea patens (Aiton) Semple & L. Brouillet,
SYPAP2,ASPA5,Aster patens Aiton,
SYPAP2,,Symphyotrichum patens (Aiton) G.L. Nesom var. patens,late purple aster
SYPAP2,VIPA10,Virgulus patens (Aiton) Reveal & Keener,
SYPH3,ASPAP2,Aster patens Aiton var. phlogifolius (Muhl. ex Willd.) Nees,
SYPH3,VIPAP4,Virgulus patens (Aiton) Reveal & Keener var. phlogifolius (Muhl. ex Willd.) Reveal & Keener,
SYPH3,,Symphyotrichum phlogifolium (Muhl. ex Willd.) G.L. Nesom,thinleaf late purple aster
SYPH3,ASPH6,Aster phlogifolius Muhl. ex Willd.,
SYPI2,,Symphyotrichum pilosum (Willd.) G.L. Nesom,hairy white oldfield aster
SYPIP3,,Symphyotrichum pilosum (Willd.) G.L. Nesom var. pilosum,hairy white oldfield aster
SYPIP3,ASVI15,Aster villosus Michx.,
SYPIP3,ASERV,Aster ericoides sensu Aiton var. villosus (Michx.) Torr. & A. Gray,
SYPIP3,ASERP4,Aster ericoides sensu Aiton var. platyphyllus Torr. & A. Gray,
SYPIP3,ASJU3,Aster juniperinus Burgess,
SYPIP3,ASPI2,Aster pilosus Willd.,
SYPIP3,ASPIP7,Aster pilosus Willd. var. platyphyllus (Torr. & A. Gray) S.F. Blake,
SYPIP3,ASRA10,Aster ramosissimus auct. non Mill.,
SYPIP2,,Symphyotrichum pilosum (Willd.) G.L. Nesom var. pringlei (A. Gray) G.L. Nesom,Pringle's aster
SYPIP2,ASFA4,Aster faxonii Porter,
SYPIP2,ASPID3,Aster pilosus Willd. var. demotus S.F. Blake,
SYPIP2,ASERP6,Aster ericoides sensu Aiton var. pringlei A. Gray,
SYPIP2,ASPIP,Aster pilosus Willd. var. pringlei (A. Gray) S.F. Blake,
SYPIP2,ASPO9,"Aster polyphyllus Willd., non Moench",
SYPIP2,ASPR13,Aster pringlei (A. Gray) Britton,
SYPR5,,Symphyotrichum praealtum (Poir.) G.L. Nesom,willowleaf aster
SYPRA,,Symphyotrichum praealtum (Poir.) G.L. Nesom var. angustior (Wiegand) G.L. Nesom,willowleaf aster
SYPRA,ASPRA,Aster praealtus Poir. var. angustior Wiegand,
SYPRP,SYNOL,Symphyotrichum novi-belgii (L.) G.L. Nesom var. litoreum (A. Gray) G.L. Nesom,
SYPRP,,Symphyotrichum praealtum (Poir.) G.L. Nesom var. praealtum,willowleaf aster
SYPRP,ASPRT,Aster praealtus Poir. var. texicola Wiegand,
SYPRP,ASCA48,"Aster caerulescens DC., orth. var.",
SYPRP,ASSA11,"Aster salicifolius Aiton, non Lam.",
SYPRP,ASCO20,Aster coerulescens DC.,
SYPRP,ASNOL,Aster novi-belgii L. var. litoreus A. Gray,
SYPRP,ASPR2,Aster praealtus Poir.,
SYPRP,ASPRC,"Aster praealtus Poir. var. caerulescens (DC.) A.G. Jones, orth. var.",
SYPRP,ASPRP,Aster praealtus Poir. var. praealtus,
SYPRP,ASPRI,Aster praealtus Poir. var. imbricatior Wiegand,
SYPRP,SYPRT,Symphyotrichum praealtum (Poir.) G.L. Nesom var. texicola (Wiegand) G.L. Nesom,
SYPR6,,Symphyotrichum prenanthoides (Muhl. ex Willd.) G.L. Nesom,crookedstem aster
SYPR6,ASPR4,Aster prenanthoides Muhl. ex Willd.,
SYPU,,Symphyotrichum puniceum (L.) Á. Löve & D. Löve,purplestem aster
SYPUP,ASPUF2,Aster puniceus L. ssp. firmus (Nees) A.G. Jones,
SYPUP,ASLU,Aster lucidulus (A. Gray) Wiegand,
SYPUP,ASCA21,Aster calderi B. Boivin,
SYPUP,,Symphyotrichum puniceum (L.) Á. Löve & D. Löve var. puniceum,purplestem aster
SYPUP,ASPUP3,Aster puniceus L. var. perlongus Fernald,
SYPUP,ASPUC3,Aster puniceus L. var. calvus Shinners,
SYPUP,ASFO8,Aster forwoodii S. Watson,
SYPUP,ASCO24,Aster conduplicatus Burgess,
SYPUP,SYPUC,Symphyotrichum puniceum (L.) Á. Löve & D. Löve var. calderi (B. Boivin) G.L. Nesom,
SYPUP,ASFI5,Aster firmus Nees,
SYPUP,ASPUC2,Aster puniceus L. var. calderi (B. Boivin) Lepage,
SYPUP,ASPU5,Aster puniceus L.,
SYPUP,ASPUC4,Aster puniceus L. var. compactus Fernald,
SYPUP,ASPUD,Aster puniceus L. var. demissus Lindl.,
SYPUP,ASPUO2,Aster puniceus L. var. oligocephalus Fernald,
SYPUP,ASPUF,Aster puniceus L. var. firmus (Nees) Torr. & A. Gray,
SYPUP,SYFI5,Symphyotrichum firmum (Nees) G.L. Nesom,
SYPUP,ASPUL4,Aster puniceus L. var. lucidulus A. Gray,
SYRA5,ASBR10,"Aster brachypholis Small, nom. inq.",
SYRA5,,Symphyotrichum racemosum (Elliott) G.L. Nesom,smooth white oldfield aster
SYRA5,ASFR2,"Aster fragilis auct. non Willd., nom. inq.",
SYRA5,ASVIS,"Aster vimineus Lam. var. subdumosus Wiegand, nom. inq.",
SYRA5,ASFRB,"Aster fragilis Willd. var. brachypholis (Small) A.G. Jones, nom. inq.",
SYRA5,ASFRS,"Aster fragilis Willd. var. subdumosus (Wiegand) A.G. Jones, nom. inq.",
SYRA5,ASRA7,Aster racemosus Elliott,
SYRA5,SYRAS,"Symphyotrichum racemosum (Elliott) G.L. Nesom var. subdumosum (Wiegand) G.L. Nesom, nom. inq.",
SYRA5,ASVI5,"Aster vimineus auct. non Lam., nom. inq.",
SYSU5,ASSUE,Aster subulatus Michx. var. euroauster Fernald & Grisc.,
SYSU5,ASSU5,Aster subulatus Michx.,
SYSU5,,Symphyotrichum subulatum (Michx.) G.L. Nesom,eastern annual saltmarsh aster
SYSU5,ASSUO,Aster subulatus Michx. var. obtusifolius Fernald,
SYTE6,,Symphyotrichum tenuifolium (L.) G.L. Nesom,perennial saltmarsh aster
SYTE6,ASTE2,Aster tenuifolius L.,
SYTR,ASTRS,Aster tradescantii L. var. saxatilis (Fernald) House,
SYTR,ASSA14,"Aster saxatilis (Fernald) Blanch., nom. illeg.",
SYTR,ASTR3,Aster tradescantii L.,
SYTR,,Symphyotrichum tradescantii (L.) G.L. Nesom,shore aster
SYTR,ASVIS2,Aster vimineus Lam. var. saxatilis Fernald,
SYUN,,Symphyotrichum undulatum (L.) G.L. Nesom,wavyleaf aster
SYUN,ASDI10,Aster diversifolius Michx.,
SYUN,ASGR12,Aster gracilescens Burgess,
SYUN,ASSY2,Aster sylvestris Burgess,
SYUN,ASAS8,Aster asperifolius Burgess,
SYUN,ASLO12,Aster loriformis (Burgess) Burgess,
SYUN,ASLI10,Aster linguiformis Burgess,
SYUN,ASTR16,Aster truellius Burgess,
SYUN,ASCL5,Aster claviger Burgess,
SYUN,ASTR15,Aster triangularis (Burgess) Burgess,
SYUN,ASMO12,Aster mohrii Burgess,
SYUN,ASUN2,Aster undulatus L.,
SYUN,ASCO41,Aster corrigiatus Burgess,
SYUN,ASUNA,Aster undulatus L. var. asperulus Alph. Wood,
SYUN,ASUNL,Aster undulatus L. var. loriformis Burgess,
SYUN,ASUND,Aster undulatus L. var. diversifolius (Michx.) A. Gray,
SYUN,ASPR11,Aster proteus Burgess,
SYUN,ASUNT,Aster undulatus L. var. triangularis Burgess,
SYUR,ASSA13,Aster sagittifolius auct. non Wedemeyer ex Willd.,
SYUR,,Symphyotrichum urophyllum (Lindl.) G.L. Nesom,white arrowleaf aster
SYUR,ASSAU,Aster sagittifolius Wedemeyer ex Willd. var. urophyllus (Lindl.) Burgess,
SYUR,ASHI5,Aster hirtellus Lindl.,
SYUR,ASUR2,Aster urophyllus Lindl.,
SYMPH2,,Symphytum L.,comfrey
SYUP,SYPE3,Symphytum peregrinum auct. non Ledeb.,
SYUP,,Symphytum ×uplandicum Nyman (pro sp.) [asperum × officinale],comfrey
SYAS,,Symphytum asperum Lepechin,prickly comfrey
SYAS,SYAS2,Symphytum asperrimum Donn ex Sims,
SYOF,,Symphytum officinale L.,common comfrey
SYOF,SYUL,Symphytum uliginosum auct. non Kern.,
SYOF,SYOFU,Symphytum officinale L. ssp. uliginosum auct. non (Kern.) Nyman,
SYMPL2,,Symplocos Jacq.,sweetleaf
SYPA12,,Symplocos paniculata (Thunb.) Miq.,sapphire-berry
SYTI,SYTIP,Symplocos tinctoria (L.) L'Hér. var. pygmaea Fernald,
SYTI,,Symplocos tinctoria (L.) L'Hér.,common sweetleaf
SYTI,SYTIA,Symplocos tinctoria (L.) L'Hér. var. ashei Harbison,
SYRIN,,Syringa L.,lilac
SYRE2,,Syringa reticulata (Blume) H. Hara,Japanese tree lilac
SYRER2,SYAMJ,Syringa amurensis Rupr. var. japonica (Maxim.) Franch. & Sav.,
SYRER2,,Syringa reticulata (Blume) H. Hara ssp. reticulata,Japanese tree lilac
SYVI3,,Syringa villosa Vahl,villous lilac
SYVU,,Syringa vulgaris L.,common lilac
TAENI,,Taenidia (Torr. & A. Gray) Drude,taenidia
TAIN,,Taenidia integerrima (L.) Drude,yellow pimpernel
TAGET,,Tagetes L.,marigold
TAER,,Tagetes erecta L.,Aztec marigold
TAER,TAMA2,Tagetes major Gaertn.,
TAPA,TARE3,Tagetes remotiflora Kunze,
TAPA,,Tagetes patula L.,French marigold
TAPA,TACO4,Tagetes corymbosa Sweet,
TAPA,TATE4,Tagetes tenuifolia Millsp.,
TAPA,TASI3,Tagetes signata Bartling,
TANAC,,Tanacetum L.,tansy
TABA,BAMAT2,Balsamita major Desf. var. tanacetoides (Boiss.) Moldenke,
TABA,,Tanacetum balsamita L.,costmary
TABA,CHBA6,"Chrysanthemum balsamita (L.) Baill., non L.",
TABA,BAMA8,Balsamita major Desf.,
TABA,CHBAT,Chrysanthemum balsamita (L.) Baill. var. tanacetoides Boiss.,
TABA,PYMA2,Pyrethrum majus (Desf.) Tzvelev,
TACO6,,Tanacetum coccineum (Willd.) Grierson,pyrethum daisy
TACO6,CHCO14,Chrysanthemum coccineum Willd.,
TACO6,CHRO7,Chrysanthemum roseum Adams,
